CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
161329284,01/01/2010,13:30:00,01/01/2010,14:00:00,107,01/01/2010,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,050,055","203,454",,,,,40.724874401,-73.762589955,"(40.724874401, -73.762589955)",PATROL BORO QUEENS SOUTH,,45-64,BLACK,F
617222202,01/01/2010,18:30:00,01/01/2010,19:50:00,9,01/01/2010,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,,609,"990,808","202,418",,UNKNOWN,U,,40.722273155,-73.976342426,"(40.722273155, -73.976342426)",PATROL BORO MAN SOUTH,,25-44,BLACK,F
119401703,01/01/2010,05:00:00,,,79,01/02/2010,106,FELONY ASSAULT,106,ASSAULT POLICE/PEACE OFFICER,COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,001,329","187,143",,,,,40.680332805,-73.938424999,"(40.680332805, -73.938424999)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
390147138,01/01/2010,16:40:00,01/01/2010,16:45:00,114,01/01/2010,348,VEHICLE AND TRAFFIC LAWS,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,009,113","219,613",,,,,40.769436597,-73.910240711,"(40.769436597, -73.910240711)",PATROL BORO QUEENS NORTH,,,UNKNOWN,E
851039637,01/01/2010,00:01:00,11/22/2010,22:00:00,104,12/02/2010,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,GROCERY/BODEGA,N.Y. POLICE DEPT,0,NA,,NA,"1,015,782","194,870",,,,,40.701501942,-73.886280185,"(40.701501942, -73.886280185)",PATROL BORO QUEENS NORTH,,,UNKNOWN,D
255708967,01/01/2010,12:00:00,03/20/2010,22:00:00,110,03/24/2010,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,021,605","211,823",,WHITE HISPANIC,M,,40.748011101,-73.865185265,"(40.748011101, -73.865185265)",PATROL BORO QUEENS NORTH,,<18,WHITE HISPANIC,F
952219188,01/01/2010,03:00:00,,,9,01/01/2010,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"986,998","204,231",25-44,WHITE HISPANIC,F,,40.727251405,-73.990086862,"(40.727251405, -73.990086862)",PATROL BORO MAN SOUTH,,45-64,WHITE HISPANIC,M
819363689,01/01/2010,05:00:00,,,42,01/01/2010,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,1162-1176 WASHINGTON AVENUE,4714,"1,009,909","241,902",,UNKNOWN,M,,40.830611515,-73.907281814,"(40.830611515, -73.907281814)",PATROL BORO BRONX,,25-44,BLACK,M
564351131,01/01/2010,08:10:00,,,44,01/01/2010,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,004,753","240,160",25-44,WHITE,M,,40.825843698,-73.925918502,"(40.825843698, -73.925918502)",PATROL BORO BRONX,,25-44,WHITE,F
114106650,01/01/2010,12:30:00,01/01/2010,13:20:00,75,01/01/2010,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,014,664","183,137",25-44,BLACK,M,,40.669301471,-73.890365247,"(40.669301471, -73.890365247)",PATROL BORO BKLYN NORTH,,25-44,BLACK,F
392200307,01/01/2010,01:30:00,01/01/2010,01:50:00,23,01/01/2010,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,,672,"998,731","225,428",,,,,40.785420342,-73.947709405,"(40.785420342, -73.947709405)",PATROL BORO MAN NORTH,,25-44,BLACK,M
187111323,01/01/2010,10:00:00,04/23/2010,20:00:00,112,05/06/2010,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,QUEENS,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,027,571","199,202",,,,,40.713342381,-73.843734952,"(40.713342381, -73.843734952)",PATROL BORO QUEENS NORTH,,65+,WHITE,F
508351034,01/01/2010,13:15:00,,,46,01/01/2010,235,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,007,365","249,660",,,,,40.851911981,-73.916447897,"(40.851911981, -73.916447897)",PATROL BORO BRONX,,,UNKNOWN,E
725585689,01/01/2010,09:15:00,01/01/2010,20:00:00,69,01/01/2010,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,012,264","177,687",,,,,40.654350351,-73.899039386,"(40.654350351, -73.899039386)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,M
926220444,01/01/2010,06:48:00,,,77,01/01/2010,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CHECK CASHING BUSINESS,N.Y. POLICE DEPT,0,NA,,NA,"1,002,427","186,192",,,,,40.677720339,-73.934468847,"(40.677720339, -73.934468847)",PATROL BORO BKLYN NORTH,,,UNKNOWN,D
815503896,01/01/2010,03:45:00,01/01/2010,04:00:00,115,01/01/2010,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,022,285","212,504",,,,,40.749877374,-73.862727261,"(40.749877374, -73.862727261)",PATROL BORO QUEENS NORTH,,18-24,WHITE HISPANIC,M
